xflr5 v6.61

Plane name :        Plane Name
Polar name :        T1-20.0 m/s-VLM1-Inviscid
Freestream speed :  20.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.247607   0.003736   0.000000   0.003736   0.000000   0.000000   0.027707  -0.000000  -0.000000   20.0000     0.0181
   -4.500     0.000  -0.212385   0.002756   0.000000   0.002756   0.000000   0.000000   0.019426   0.000000   0.000000   20.0000     0.0148
   -4.000     0.000  -0.177120   0.001926   0.000000   0.001926   0.000000   0.000000   0.011125  -0.000000  -0.000000   20.0000     0.0101
   -3.500     0.000  -0.141818   0.001246   0.000000   0.001246   0.000000   0.000000   0.002806  -0.000000  -0.000000   20.0000     0.0032
   -3.000     0.000  -0.106485   0.000717   0.000000   0.000717   0.000000   0.000000  -0.005529  -0.000000  -0.000000   20.0000    -0.0083
   -2.500     0.000  -0.071128   0.000340   0.000000   0.000340   0.000000   0.000000  -0.013878  -0.000000  -0.000000   20.0000    -0.0313
   -2.000     0.000  -0.035754   0.000114   0.000000   0.000114   0.000000   0.000000  -0.022237  -0.000000  -0.000000   20.0000    -0.0996
   -1.500     0.000  -0.000369   0.000041   0.000000   0.000041   0.000000   0.000000  -0.030603  -0.000000  -0.000000   20.0000   -13.2865
   -1.000     0.000   0.035020   0.000119   0.000000   0.000119   0.000000   0.000000  -0.038976  -0.000000  -0.000000   20.0000     0.1782
   -0.500     0.000   0.070406   0.000351   0.000000   0.000351   0.000000   0.000000  -0.047351  -0.000000  -0.000000   20.0000     0.1076
    0.000     0.000   0.105783   0.000734   0.000000   0.000734   0.000000   0.000000  -0.055727  -0.000000  -0.000000   20.0000     0.0843
    0.500     0.000   0.141144   0.001269   0.000000   0.001269   0.000000   0.000000  -0.064100   0.000000   0.000000   20.0000     0.0726
    1.000     0.000   0.176482   0.001957   0.000000   0.001957   0.000000  -0.000000  -0.072469   0.000000   0.000000   20.0000     0.0657
    1.500     0.000   0.211790   0.002795   0.000000   0.002795   0.000000   0.000000  -0.080831   0.000000   0.000000   20.0000     0.0610
    2.000     0.000   0.247063   0.003785   0.000000   0.003785   0.000000  -0.000000  -0.089183  -0.000000  -0.000000   20.0000     0.0577
    2.500     0.000   0.282292   0.004924   0.000000   0.004924   0.000000   0.000000  -0.097522  -0.000000  -0.000000   20.0000     0.0552
    3.000     0.000   0.317473   0.006213   0.000000   0.006213   0.000000   0.000000  -0.105847   0.000000   0.000000   20.0000     0.0533
    3.500     0.000   0.352598   0.007650   0.000000   0.007650   0.000000   0.000000  -0.114154  -0.000000  -0.000000   20.0000     0.0518
