  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 15:21:16	  -5.000	  122.56	  999.78	   22.29	  840.07	   1.179	  -76.78	  197.93	  234.48	  148.41	   72.54	   38.01	   11.89	   -6.71	  -22.09	  -29.48	  -19.96	  -36.04	  -39.71	  -39.26	  -34.32	  -30.55	  -25.61	  -19.15	  -13.02	   -7.96	   -2.60	    0.73	    2.32	    5.52	   19.57	  -77.01	 -459.95	 -441.71	 -365.35	 -168.23	 -145.56	 -122.11	 -106.84	  -95.18	  -85.23	  -76.53	  -68.66	  -62.03	  -55.12	  -48.70	  -42.45	  -35.83	  -28.85	  -21.12	  -13.88	   -4.96	    3.52	   12.61	   19.57	  255.18	  254.14	  256.13	  256.95	  255.02	  254.04	  256.20	  254.63	  256.69	  256.00	  254.62	  255.38	  255.93	  255.29	  255.52	  256.38	  256.31	  256.34	  255.58	  255.68	  251.79	  239.67	  218.05	  200.85	  193.75	  210.93	  230.62	  244.17	  251.53	  255.36	  255.22	  255.09	  254.80	  254.66	  255.75	  255.48	  255.56	  255.30	  254.82	  255.30	  255.77	  254.77	  255.38	  255.25	  255.87	  254.73	  256.07	  255.05	   13.54	   11.87	   12.76	   12.62	   12.86	   13.16	   13.29	   13.93	   14.51	   14.14	   14.12	   10.63	    0.46	    0.18	    0.33	    0.33
       2	 15:21:52	  -4.500	  119.12	  999.79	   22.35	  839.70	   1.179	  -49.70	  199.40	  227.30	  137.33	   60.37	   28.10	    3.51	  -15.56	  -28.57	  -35.46	  -26.25	  -40.77	  -44.60	  -42.64	  -37.66	  -33.53	  -28.09	  -21.62	  -15.01	  -10.16	   -5.27	   -2.04	   -0.56	    8.95	   21.20	  -50.29	 -457.04	 -382.11	 -271.83	 -164.29	 -136.44	 -114.25	  -98.77	  -88.27	  -79.27	  -71.19	  -64.10	  -58.02	  -51.57	  -45.45	  -39.79	  -33.54	  -26.87	  -19.40	  -12.27	   -3.51	    5.04	   14.19	   21.20	  253.84	  252.71	  254.64	  255.41	  253.63	  252.46	  254.83	  253.30	  255.41	  254.52	  253.17	  254.08	  254.54	  254.01	  254.43	  254.95	  254.77	  254.98	  254.22	  253.92	  248.17	  234.28	  212.30	  202.52	  203.71	  225.75	  241.09	  248.42	  251.34	  254.03	  253.83	  253.58	  253.74	  254.10	  254.64	  254.36	  254.48	  254.28	  253.60	  254.93	  254.68	  253.57	  254.06	  254.08	  254.87	  254.30	  254.98	  253.94	   14.01	   12.69	   13.61	   13.45	   13.63	   14.10	   14.16	   14.85	   15.00	   14.64	   14.63	   11.54	    1.25	    0.23	    0.37	    0.33
       3	 15:22:28	  -4.000	  122.27	  999.75	   22.39	  839.39	   1.178	  -15.05	  200.12	  219.28	  125.85	   48.74	   18.14	   -2.26	  -24.78	  -33.74	  -43.76	  -32.56	  -45.52	  -48.83	  -47.68	  -41.49	  -36.55	  -30.70	  -24.15	  -17.68	  -12.65	   -8.65	   -5.06	   -3.73	   15.14	   21.17	  -15.63	 -457.95	 -311.98	 -226.43	 -175.38	 -132.63	 -104.97	  -90.00	  -80.05	  -72.50	  -65.78	  -59.79	  -54.25	  -48.40	  -42.94	  -37.67	  -31.70	  -25.39	  -18.07	  -10.95	   -2.35	    6.21	   15.51	   21.17	  255.13	  253.96	  255.95	  256.85	  254.96	  253.90	  256.08	  254.52	  256.44	  256.01	  254.50	  255.42	  255.81	  255.23	  255.10	  256.33	  256.24	  256.15	  255.14	  253.94	  243.73	  226.87	  208.36	  208.90	  217.68	  238.63	  248.23	  251.91	  253.16	  255.31	  255.18	  254.78	  255.68	  255.99	  256.71	  256.42	  256.45	  256.10	  255.70	  256.88	  256.65	  255.60	  256.16	  255.85	  256.75	  256.08	  256.84	  255.96	   13.77	   12.79	   13.67	   13.45	   13.52	   14.21	   13.99	   14.45	   14.96	   14.48	   14.40	   11.65	    0.80	    0.18	    0.34	    0.32
       4	 15:23:12	  -3.500	  120.70	  999.74	   22.45	  839.67	   1.178	   24.93	  203.72	  208.31	  112.14	   34.37	    7.92	   -9.93	  -33.54	  -40.82	  -49.89	  -38.10	  -50.23	  -53.41	  -51.06	  -44.50	  -39.24	  -33.67	  -26.45	  -19.88	  -15.29	  -12.02	   -8.34	   -6.69	   19.82	   21.88	   22.59	 -383.90	 -276.17	 -197.70	 -149.67	 -121.54	 -102.94	  -89.80	  -79.96	  -71.22	  -62.85	  -53.27	  -48.54	  -42.78	  -38.36	  -33.90	  -28.77	  -23.18	  -16.18	   -9.63	   -1.24	    7.15	   16.61	   21.88	  254.28	  253.09	  255.06	  256.01	  253.92	  252.91	  255.23	  253.73	  255.65	  255.06	  253.47	  254.44	  254.95	  254.29	  254.37	  255.36	  255.23	  255.30	  253.97	  251.09	  237.05	  220.18	  208.37	  216.93	  227.50	  245.37	  250.99	  252.13	  252.48	  254.47	  254.23	  253.96	  252.85	  254.27	  253.78	  253.48	  253.50	  253.14	  252.75	  254.27	  253.85	  252.68	  252.78	  252.96	  254.05	  253.30	  254.54	  253.21	   13.34	   12.64	   13.56	   13.22	   13.30	   14.12	   13.78	   14.11	   14.53	   14.04	   13.98	   11.60	    0.56	    0.20	    0.31	    0.38
       5	 15:23:36	  -3.000	  122.39	  999.75	   22.47	  839.80	   1.178	   72.62	  203.26	  197.51	   98.82	   25.05	   -2.10	  -17.91	  -40.78	  -47.31	  -55.80	  -43.28	  -55.46	  -56.05	  -55.09	  -48.12	  -42.13	  -36.15	  -28.14	  -21.88	  -17.86	  -14.70	  -11.55	   -4.83	   24.60	   19.52	   69.73	 -317.28	 -242.07	 -176.54	 -135.32	 -110.49	  -93.08	  -81.83	  -73.47	  -66.64	  -60.48	  -55.19	  -50.76	  -45.80	  -41.65	  -37.00	  -31.14	  -23.44	  -14.78	   -7.09	    1.67	    9.62	   18.56	   19.52	  254.87	  253.71	  255.59	  256.53	  254.58	  253.79	  255.88	  254.32	  256.30	  255.91	  254.28	  255.22	  255.55	  255.00	  254.91	  256.02	  255.82	  255.90	  254.46	  249.42	  233.96	  220.75	  214.69	  225.68	  235.09	  249.51	  252.92	  253.01	  253.39	  255.13	  255.00	  254.69	  255.22	  255.18	  256.19	  255.71	  255.81	  255.64	  255.25	  256.62	  256.16	  255.44	  255.53	  255.55	  256.41	  255.71	  257.15	  255.45	   13.22	   12.77	   13.67	   13.35	   13.35	   14.26	   13.81	   14.00	   14.49	   13.97	   13.88	   11.75	    0.28	    0.17	    0.31	    0.34
       6	 15:23:58	  -2.500	  119.67	  999.75	   22.50	  839.91	   1.178	  113.45	  200.64	  185.20	   84.87	   16.39	  -12.21	  -26.55	  -47.36	  -52.50	  -60.85	  -47.76	  -59.50	  -60.28	  -57.66	  -50.27	  -43.17	  -38.02	  -29.66	  -23.84	  -19.86	  -17.33	  -13.98	    4.44	   28.43	   17.98	  111.13	 -250.11	 -207.10	 -152.75	 -119.62	  -98.09	  -83.93	  -73.73	  -66.32	  -60.31	  -54.62	  -49.77	  -45.64	  -40.91	  -36.99	  -32.89	  -28.81	  -24.60	  -20.14	  -16.19	   -8.45	    3.76	   18.48	   17.98	  253.78	  252.71	  254.46	  255.45	  253.41	  252.51	  254.72	  253.23	  255.18	  254.57	  253.05	  254.09	  254.46	  253.87	  253.86	  254.85	  254.54	  254.48	  251.29	  244.03	  228.72	  219.71	  218.85	  230.87	  238.68	  250.67	  252.38	  251.88	  251.97	  253.85	  253.49	  253.47	  251.90	  252.39	  252.74	  252.52	  252.44	  252.39	  251.92	  253.42	  252.81	  252.36	  251.95	  252.05	  253.13	  252.31	  253.42	  252.06	   12.95	   12.76	   13.64	   13.28	   13.28	   14.24	   13.22	   13.96	   14.26	   13.69	   13.65	   11.76	    0.29	    0.19	    0.30	    0.36
       7	 15:24:19	  -2.000	  120.00	  999.77	   22.52	  840.42	   1.178	  152.04	  195.61	  170.37	   67.36	    2.85	  -23.81	  -36.71	  -56.59	  -60.82	  -67.87	  -55.54	  -65.05	  -65.75	  -61.43	  -54.51	  -47.12	  -41.49	  -33.26	  -28.37	  -24.18	  -22.24	  -18.00	   13.43	   29.43	   18.39	  148.68	 -188.47	 -171.72	 -133.13	 -107.09	  -88.80	  -76.54	  -67.32	  -60.82	  -55.68	  -50.67	  -46.28	  -42.46	  -38.16	  -34.40	  -30.35	  -26.33	  -22.07	  -17.65	  -14.39	   -9.97	   -3.45	   11.27	   18.39	  253.84	  252.60	  254.47	  255.43	  253.40	  252.40	  254.76	  253.29	  255.16	  254.73	  253.09	  254.06	  254.47	  253.93	  253.95	  254.93	  254.85	  253.95	  248.96	  238.55	  223.79	  220.43	  223.66	  236.26	  242.98	  252.97	  253.22	  252.15	  252.20	  254.12	  253.79	  253.61	  252.69	  252.56	  253.53	  253.21	  253.19	  253.68	  252.54	  254.05	  253.47	  253.15	  252.70	  252.77	  253.75	  253.13	  254.23	  252.97	   12.99	   13.05	   13.94	   13.53	   13.32	   14.41	   13.14	   13.95	   14.43	   13.85	   13.75	   12.15	    0.40	    0.17	    0.34	    0.33
       8	 15:25:05	  -1.500	  121.16	  999.74	   22.57	  839.98	   1.178	  186.95	  189.46	  154.89	   52.75	  -10.09	  -34.84	  -45.48	  -63.78	  -69.05	  -74.42	  -61.17	  -69.44	  -69.00	  -64.90	  -57.20	  -50.32	  -43.93	  -36.09	  -31.93	  -27.41	  -25.95	  -19.11	   17.29	   30.54	   19.70	  183.22	 -126.63	 -137.49	 -112.20	  -93.21	  -78.24	  -68.40	  -59.69	  -54.25	  -49.83	  -45.45	  -41.50	  -38.29	  -34.26	  -30.77	  -26.86	  -22.89	  -18.63	  -13.97	  -10.65	   -6.61	   -3.62	    0.84	   19.70	  254.79	  253.74	  255.58	  256.51	  254.50	  253.47	  255.76	  254.20	  256.33	  255.69	  254.23	  255.07	  255.51	  254.91	  254.90	  255.70	  254.95	  252.83	  245.37	  232.91	  222.32	  224.61	  230.34	  242.25	  246.93	  254.98	  254.35	  253.11	  253.19	  255.09	  254.81	  254.58	  254.77	  255.11	  255.24	  254.89	  254.76	  255.21	  254.05	  255.54	  255.28	  254.67	  254.27	  254.42	  255.22	  254.61	  255.77	  254.34	   12.94	   13.29	   14.14	   13.73	   13.18	   14.56	   13.59	   14.13	   14.41	   13.77	   13.66	   12.39	    0.27	    0.15	    0.35	    0.35
       9	 15:25:52	  -1.000	  120.01	  999.75	   22.61	  839.47	   1.178	  209.94	  178.16	  136.37	   36.84	  -21.72	  -47.21	  -53.92	  -71.66	  -76.72	  -80.14	  -66.45	  -73.46	  -73.35	  -68.38	  -59.19	  -53.09	  -46.58	  -39.54	  -35.72	  -31.10	  -29.20	   -3.92	   19.25	   29.35	   24.05	  207.22	  -70.27	 -103.52	  -90.29	  -78.68	  -67.29	  -59.22	  -52.11	  -47.50	  -43.93	  -40.16	  -36.85	  -34.26	  -30.56	  -27.41	  -23.84	  -20.05	  -15.81	  -11.17	   -7.46	   -3.37	   -0.46	    2.51	   24.05	  253.24	  252.16	  253.75	  254.87	  252.79	  251.86	  254.11	  252.64	  254.52	  254.12	  252.53	  253.32	  253.97	  253.29	  253.13	  254.25	  254.13	  254.13	  253.10	  252.72	  249.15	  239.92	  227.11	  222.58	  222.06	  234.07	  241.70	  246.96	  250.16	  253.07	  253.03	  252.78	  252.92	  252.59	  252.75	  252.94	  252.68	  253.14	  252.17	  253.55	  253.02	  252.57	  252.32	  252.50	  253.25	  252.22	  253.61	  252.30	   12.70	   13.09	   13.93	   13.51	   13.17	   14.01	   11.50	   13.95	   14.17	   13.52	   13.45	   12.21	    0.26	    0.19	    0.32	    0.32
