  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	      Fx	      Fy	      Fz	     rpm	     Rho
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	       N	       N	       N	   1/min	  kg/m^3
       1	 16:15:58	  -5.000	  124.33	  999.71	   22.76	   0.471	  -3.624	  -0.089	   849.7	   1.177
       2	 16:16:18	  -4.500	  123.50	  999.70	   22.84	   0.430	  -3.044	  -0.088	   849.8	   1.177
       3	 16:16:41	  -4.000	  123.27	  999.68	   22.91	   0.409	  -2.478	  -0.083	   849.8	   1.176
       4	 16:16:57	  -3.500	  124.77	  999.71	   22.94	   0.376	  -1.967	  -0.080	   850.2	   1.176
       5	 16:17:15	  -3.000	  125.14	  999.72	   22.97	   0.361	  -1.538	  -0.078	   850.0	   1.176
       6	 16:17:32	  -2.500	  122.85	  999.74	   23.00	   0.353	  -1.059	  -0.075	   849.9	   1.176
       7	 16:17:44	  -2.000	  125.49	  999.73	   23.01	   0.348	  -0.567	  -0.063	   849.7	   1.176
       8	 16:17:58	  -1.500	  122.12	  999.74	   23.02	   0.355	  -0.021	  -0.064	   849.8	   1.176
       9	 16:18:43	  -1.000	  124.80	  999.68	   23.07	   0.359	   0.479	  -0.056	   850.0	   1.176
      10	 16:18:58	  -0.500	  124.07	  999.70	   23.08	   0.368	   1.041	  -0.051	   850.2	   1.176
      11	 16:19:12	  -0.000	  125.75	  999.73	   23.10	   0.380	   1.731	  -0.045	   849.9	   1.176
      12	 16:19:23	   0.500	  124.53	  999.76	   23.11	   0.387	   2.493	  -0.040	   850.2	   1.176
      13	 16:19:34	   1.000	  123.61	  999.74	   23.12	   0.410	   3.380	  -0.029	   850.2	   1.176
      14	 16:19:44	   1.500	  123.96	  999.74	   23.13	   0.422	   3.972	  -0.017	   850.3	   1.175
      15	 16:19:58	   2.000	  123.69	  999.74	   23.14	   0.446	   4.516	  -0.015	   849.9	   1.175
      16	 16:20:09	   2.500	  125.04	  999.74	   23.15	   0.473	   5.088	  -0.014	   850.7	   1.175
      17	 16:20:19	   3.000	  123.50	  999.74	   23.15	   0.501	   5.622	  -0.010	   849.9	   1.175
      18	 16:20:29	   3.500	  124.55	  999.73	   23.17	   0.527	   6.195	  -0.014	   849.8	   1.175
      19	 16:20:39	   4.000	  123.62	  999.73	   23.17	   0.558	   6.772	  -0.011	   849.9	   1.175
      20	 16:20:49	   4.500	  123.69	  999.70	   23.16	   0.593	   7.342	  -0.015	   849.8	   1.175
      21	 16:20:59	   5.000	  123.55	  999.71	   23.17	   0.637	   7.978	  -0.022	   849.6	   1.175
